Code Word,Size,Stranding,Ind. Diam - Al,Ind. Diam - St,Diam - Stl Core,Diam - Complete Cable,Weight per 1000 ft - Al,Weight per 1000 ft - Stl,Weight per 1000 ft - Total,% Al,% Stl,Rated Strength,Resistance DC @Low degc,Resistance AC @High degc,Low Temp,High Temp,Meters per Resistance Interval,Allowable Ampacity,Type
Alliance,246.9,7,0.1878,,,0.563,,,230.2,,,8560,0.0816,0.0973,20,75,304.8,395,AAAC
Butte,312.8,19,0.1283,,,0.642,,,291.7,,,10500,0.0644,0.0769,20,75,304.8,460,AAAC
Canton,394.5,19,0.1441,,,0.721,,,367.9,,,13300,0.0511,0.061,20,75,304.8,532,AAAC
Cairo,465.4,19,0.1565,,,0.783,,,434,,,15600,0.0433,0.0518,20,75,304.8,590,AAAC
Darien,559.5,19,0.1716,,,0.858,,,521.7,,,18800,0.036,0.0431,20,75,304.8,663,AAAC
Elgin,652.4,19,0.1853,,,0.927,,,608.4,,,21900,0.0309,0.0371,20,75,304.8,729,AAAC
Flint,740.8,37,0.1415,,,0.991,,,690.8,,,24400,0.0272,0.0327,20,75,304.8,790,AAAC
Greeley,927.2,37,0.1583,,,1.108,,,864.6,,,30500,0.0217,0.0263,20,75,304.8,908,AAAC
Peachbell,6,7,0.0612,,,0.184,,,25,,,563,0.658,0.805,20,75,304.8,103,AAC
Rose,4,7,0.0772,,,0.232,,,39,,,881,0.414,0.506,20,75,304.8,138,AAC
Iris,2,7,0.0974,,,0.292,,,62,,,1350,0.26,0.318,20,75,304.8,185,AAC
Pansy,1,7,0.1093,,,0.328,,,78,,,1640,0.207,0.252,20,75,304.8,214,AAC
Poppy,Jan-00,7,0.1228,,,0.368,,,99,,,1990,0.164,0.2,20,75,304.8,247,AAC
Aster,Feb-00,7,0.1379,,,0.414,,,125,,,2510,0.13,0.159,20,75,304.8,286,AAC
Phlox,Mar-00,7,0.1548,,,0.464,,,157,,,3040,0.103,0.126,20,75,304.8,331,AAC
Oxlip,Apr-00,7,0.1739,,,0.522,,,198,,,3830,0.0817,0.0999,20,75,304.8,383,AAC
Sneezewort,250,7,0.189,,,0.567,,,234,,,4520,0.0691,0.0846,20,75,304.8,425,AAC
Valerian,250,19,0.1147,,,0.574,,,234,,,4660,0.0691,0.0846,20,75,304.8,426,AAC
Daisy,266.8,7,0.1952,,,0.586,,,250,,,4830,0.0648,0.0793,20,75,304.8,443,AAC
Laurel,266.8,19,0.1185,,,0.592,,,250,,,4970,0.0648,0.0793,20,75,304.8,444,AAC
Peony,300,19,0.1257,,,0.628,,,281,,,5480,0.0576,0.0706,20,75,304.8,478,AAC
Tulip,336.4,19,0.1331,,,0.665,,,315,,,6150,0.0514,0.063,20,75,304.8,513,AAC
Daffodil,350,19,0.1357,,,0.679,,,328,,,6390,0.0494,0.0605,20,75,304.8,526,AAC
Canna,397.5,19,0.1446,,,0.723,,,373,,,7110,0.0435,0.0534,20,75,304.8,570,AAC
Goldentuft,450,19,0.1539,,,0.769,,,422,,,7890,0.0384,0.0472,20,75,304.8,616,AAC
Cosmos,477,19,0.1584,,,0.792,,,447,,,8360,0.0362,0.0445,20,75,304.8,639,AAC
Syringa,477,37,0.1135,,,0.795,,,447,,,8690,0.0362,0.0445,20,75,304.8,639,AAC
Zinnia,500,19,0.1622,,,0.811,,,469,,,8760,0.0346,0.0425,20,75,304.8,658,AAC
Hyacinth,500,37,0.1162,,,0.814,,,469,,,9110,0.0346,0.0425,20,75,304.8,658,AAC
Dahlia,556.5,19,0.1711,,,0.856,,,522,,,9750,0.0311,0.0382,20,75,304.8,703,AAC
Mistletoe,556.5,37,0.1226,,,0.858,,,522,,,9940,0.0311,0.0382,20,75,304.8,704,AAC
Meadowsweet,600,37,0.1273,,,0.891,,,562,,,10700,0.0228,0.0355,20,75,304.8,738,AAC
Orchid,636,37,0.1311,,,0.918,,,596,,,11400,0.0272,0.0335,20,75,304.8,765,AAC
Heuchera,650,37,0.1325,,,0.928,,,609,,,11600,0.0266,0.0328,20,75,304.8,775,AAC
Verbena,700,37,0.1375,,,0.963,,,656,,,12500,0.0247,0.0305,20,75,304.8,812,AAC
Flag,700,61,0.1071,,,0.964,,,656,,,12900,0.0247,0.0305,20,75,304.8,812,AAC
Violet,715.5,37,0.1391,,,0.973,,,671,,,12800,0.0242,0.0299,20,75,304.8,823,AAC
Nasturtium,715.5,61,0.1083,,,0.975,,,671,,,13100,0.0242,0.0299,20,75,304.8,823,AAC
Petunia,750,37,0.1424,,,0.997,,,703,,,13100,0.023,0.0286,20,75,304.8,847,AAC
Cattail,750,61,0.1109,,,0.998,,,703,,,13500,0.023,0.0286,20,75,304.8,847,AAC
Arbutus,795,37,0.1466,,,1.026,,,745,,,13900,0.0217,0.027,20,75,304.8,878,AAC
Lilac,795,61,0.1142,,,1.027,,,745,,,14300,0.0217,0.027,20,75,304.8,879,AAC
Cockscomb,900,37,0.156,,,1.092,,,844,,,15400,0.0192,0.0239,20,75,304.8,948,AAC
Snapdragon,900,61,0.1215,,,1.093,,,844,,,15900,0.0192,0.0239,20,75,304.8,948,AAC
Magnolia,954,37,0.1606,,,1.124,,,894,,,16400,0.0181,0.0226,20,75,304.8,982,AAC
Goldenrod,954,61,0.1251,,,1.125,,,894,,,16900,0.0181,0.0226,20,75,304.8,983,AAC
Hawkweed,1000,37,0.1644,,,1.151,,,937,,,17200,0.0173,0.0216,20,75,304.8,1010,AAC
Camellia,1000,61,0.128,,,1.152,,,937,,,17700,0.0173,0.0216,20,75,304.8,1011,AAC
Bluebell,1033.5,37,0.1671,,,1.17,,,969,,,17700,0.0167,0.021,20,75,304.8,1031,AAC
Larkspur,1033.5,61,0.1302,,,1.171,,,969,,,18300,0.0167,0.021,20,75,304.8,1032,AAC
Marigold,1113,61,0.1351,,,1.216,,,1043,,,19700,0.0155,0.0195,20,75,304.8,1079,AAC
Hawthorn,1192.5,61,0.1398,,,1.258,,,1118,,,21100,0.0145,0.0183,20,75,304.8,1124,AAC
Narcissus,1272,61,0.1444,,,1.3,,,1192,,,22000,0.0136,0.0173,20,75,304.8,1169,AAC
Columbine,1351.5,61,0.1488,,,1.34,,,1267,,,23400,0.0128,0.0163,20,75,304.8,1212,AAC
Carnation,1431,61,0.1532,,,1.378,,,1341,,,24300,0.0121,0.0155,20,75,304.8,1253,AAC
Gladiolus,1510.5,61,0.1574,,,1.416,,,1416,,,25600,0.0144,0.0147,20,75,304.8,1294,AAC
Coreopsis,1590,61,0.1614,,,1.453,,,1490,,,27000,0.0109,0.0141,20,75,304.8,1333,AAC
Jessamine,1750,61,0.1694,,,1.524,,,1640,,,29700,0.00988,0.0129,20,75,304.8,1408,AAC
Cowslip,2000,91,0.1482,,,1.631,,,1875,,,34200,0.00864,0.0115,20,75,304.8,1518,AAC
Sagebrush,2250,91,0.1572,,,1.73,,,2130,,,37500,0.00776,0.0105,20,75,304.8,1612,AAC
Lupine,2500,91,0.1657,,,1.823,,,2366,,,41900,0.00698,0.00969,20,75,304.8,1706,AAC
Bitterroot,2750,91,0.1738,,,1.912,,,2603,,,46100,0.00635,0.009,20,75,304.8,1793,AAC
Trillium,3000,127,0.1537,,,1.998,,,2839,,,50300,0.00582,0.00834,20,75,304.8,1874,AAC
Bluebonnet,3500,127,0.166,,,2.158,,,3345,,,58700,0.00499,0.00756,20,75,304.8,2024,AAC
Partridge/ACSS/TW,266.8,,,,0.2364,0.595,250.5,115.6,366.1,,,8880,0.3262,0.4009,20,75,1609.34,795,ACSSTW
Linnet/ACSS/TW,336.4,,,,0.2655,0.667,316.1,145.8,461.9,,,11200,0.2588,0.3181,20,75,1609.34,921,ACSSTW
Oriole/ACSS/TW,336.4,,,,0.3177,0.692,318.2,209.2,527.4,,,14800,0.2565,0.3151,20,75,1609.34,940,ACSSTW
Flicker/ACSS/TW,477,,,,0.282,0.776,447.8,164.5,612.3,,,13000,0.1831,0.2255,20,75,1609.34,1151,ACSSTW
Hawk/ACSS/TW,477,,,,0.3162,0.79,448.7,206.4,655.1,,,15600,0.1825,0.2247,20,75,1609.34,1159,ACSSTW
Hen/ACSS/TW,477,,,,0.3783,0.82,451.1,296.6,747.8,,,21000,0.1809,0.2225,20,75,1609.34,1181,ACSSTW
Parakeet/ACSS/TW,556.5,,,,0.3045,0.835,522.4,191.8,714.2,,,15200,0.1569,0.1935,20,75,1609.34,1271,ACSSTW
Dove/ACSS/TW,556.5,,,,0.3414,0.85,523.4,241.1,764.5,,,18200,0.1564,0.1928,20,75,1609.34,1282,ACSSTW
Rook/ACSS/TW,636,,,,0.3255,0.893,597,219.2,816.2,,,17300,0.1373,0.1696,20,75,1609.34,1386,ACSSTW
Grosbeak/ACSS/TW,636,,,,0.3648,0.909,601.5,275.8,877.3,,,20700,0.1369,0.1689,20,75,1609.34,1398,ACSSTW
Scoter/ACSS/TW,636,,,,0.4368,0.942,600.5,394.7,995.2,,,27400,0.1356,0.1672,20,75,1609.34,1427,ACSSTW
Tern/ACSS/TW,795,,,,0.2658,0.96,745.2,146.1,891.3,,,14200,0.1105,0.1373,20,75,1609.34,1580,ACSSTW
Puffin/ACSS/TW,795,,,,0.3168,0.98,745.9,228.5,974.4,,,17700,0.1101,0.1365,20,75,1609.34,1595,ACSSTW
Condor/ACSS/TW,795,,,,0.3639,0.993,746.3,273.9,1020,,,21700,0.1098,0.1361,20,75,1609.34,1604,ACSSTW
Drake/ACSS/TW,795,,,,0.408,1.01,747,344.3,1091.3,,,25900,0.1095,0.1355,20,75,1609.34,1616,ACSSTW
Canary/ACSS/TW,900,,,,0.3873,1.055,844.8,310.9,1155.7,,,24600,0.097,0.1205,20,75,1609.34,1739,ACSSTW
Phoenix/ACSS/TW,954,,,,0.2511,1.044,897.7,130.4,1028,,,14200,0.0927,0.1187,20,75,1609.34,1740,ACSSTW
Rail/ACSS/TW,954,,,,0.2913,1.061,898.6,175.5,1074.1,,,16700,0.0926,0.1183,20,75,1609.34,1750,ACSSTW
Cardinal/ACSS/TW,954,,,,0.3987,1.08,895.5,328.8,1224.3,,,26000,0.0915,0.1138,20,75,1609.34,1806,ACSSTW
Snowbird/ACSS/TW,1033.5,,,,0.2613,1.089,972.5,141.2,1114,,,15400,0.0856,0.1098,20,75,1609.34,1834,ACSSTW
Ortolan/ACSS/TW,1033.5,,,,0.303,1.102,972.5,189.9,1162,,,18100,0.0854,0.1095,20,75,1609.34,1843,ACSSTW
Curlew/ACSS/TW,1033.5,,,,0.4149,1.132,970.1,356.1,1326.2,,,28200,0.0845,0.1053,20,75,1609.34,1903,ACSSTW
Avocet/ACSS/TW,1113,,,,0.2712,1.129,1047,152.1,1199,,,16300,0.0794,0.1022,20,75,1609.34,1925,ACSSTW
Bluejay/ACSS/TW,1113,,,,0.3147,1.143,1048,204.8,1253,,,19500,0.0793,0.1019,20,75,1609.34,1935,ACSSTW
Finch/ACSS/TW,1113,,,,0.431,1.185,1051,376.1,1427,,,30400,0.0789,0.101,20,75,1609.34,1965,ACSSTW
Oxbird/ACSS/TW,1192.5,,,,0.2808,1.17,1122.9,163.1,1286,,,17500,0.0741,0.0957,20,75,1609.34,2013,ACSSTW
Bunting/ACSS/TW,1192.5,,,,0.3255,1.181,1123.2,219.6,1342.8,,,20900,0.074,0.0954,20,75,1609.34,2023,ACSSTW
Grackle/ACSS/TW,1192.5,,,,0.446,1.225,1127.8,402.9,1530.7,,,32600,0.0737,0.0944,20,75,1609.34,2055,ACSSTW
Scissortail/ACSS/TW,1272,,,,0.2901,1.203,1197,174,1371,,,18700,0.0695,0.09,20,75,1609.34,2098,ACSSTW
Bittern/ACSS/TW,1272,,,,0.3363,1.224,1197.6,234.9,1432.5,,,22300,0.0694,0.0897,20,75,1609.34,2110,ACSSTW
Pheasant/ACSS/TW,1272,,,,0.4605,1.26,1201,429.5,1630.5,,,34100,0.0691,0.0887,20,75,1609.34,2143,ACSSTW
Dipper/ACSS/TW,1351.5,,,,0.3465,1.256,1273,248.3,1521,,,23700,0.0653,0.0847,20,75,1609.34,2194,ACSSTW
Martin/ACSS/TW,1351.5,,,,0.4745,1.3,1276.1,456,1732.1,,,36200,0.065,0.0837,20,75,1609.34,2228,ACSSTW
Bobolink/ACSS/TW,1431,,,,0.3567,1.291,1347,263.1,1611,,,25100,0.0617,0.0802,20,75,1609.34,2276,ACSSTW
Plover/ACSS/TW,1431,,,,0.4885,1.337,1351,483.2,1834,,,38400,0.0614,0.0793,20,75,1609.34,2313,ACSSTW
Lapwing/ACSS/TW,1590,,,,0.3759,1.358,1497.6,292.3,1789.9,,,27900,0.0555,0.0727,20,75,1609.34,2435,ACSSTW
Falcon/ACSS/TW,1590,,,,0.515,1.41,1502.8,537.2,2040,,,42600,0.0553,0.0717,20,75,1609.34,2477,ACSSTW
Chukar/ACSS/TW,1780,,,,0.437,1.445,1680.6,386.8,2067.4,,,35300,0.0495,0.0652,20,75,1609.34,2630,ACSSTW
Bluebird/ACSS/TW,2156,,,,0.4805,1.608,2045,467.5,2512,,,42100,0.0412,0.0543,20,75,1609.34,3014,ACSSTW
Mohawk/ACSS/TW,571.7,,,,0.309,0.85,537,197.5,734.5,,,15600,0.1527,0.1884,20,75,1609.34,1294,ACSSTW
Calumet/ACSS/TW,565.3,,,,0.3438,0.86,531.2,244.5,775.7,,,18400,0.154,0.1898,20,75,1609.34,1295,ACSSTW
Mystic/ACSS/TW,666.6,,,,0.3732,0.913,630.4,230.3,860.7,,,18200,0.131,0.1619,20,75,1609.34,1431,ACSSTW
Oswego/ACSS/TW,664.8,,,,0.3732,0.927,628.7,288.7,917.4,,,21700,0.1309,0.1616,20,75,1609.34,1439,ACSSTW
Maumee/ACSS/TW,768.2,,,,0.3585,0.977,721.1,265.9,987,,,21000,0.1137,0.1407,20,75,1609.34,1569,ACSSTW
Wabash/ACSS/TW,762.8,,,,0.3993,0.99,716.7,329.8,1046.5,,,24900,0.1141,0.1411,20,75,1609.34,1573,ACSSTW
Kettle/ACSS/TW,957.2,,,,0.2919,1.06,901.6,176.2,1078,,,16800,0.0922,0.118,20,75,1609.34,1753,ACSSTW
Fraser/ACSS/TW,946.7,,,,0.3462,1.077,892.6,247.9,1141,,,21100,0.093,0.1187,20,75,1609.34,1756,ACSSTW
Columbia/ACSS/TW,966.2,,,,0.4014,1.092,906.9,333.2,1240,,,26400,0.0904,0.1124,20,75,1609.34,1822,ACSSTW
Suwannee/ACSS/TW,959.6,,,,0.4479,1.11,901.6,415,1316.6,,,30700,0.0907,0.1127,20,75,1609.34,1828,ACSSTW
Cheyenne/ACSS/TW,1168.1,,,,0.2778,1.155,1099,159.6,1259,,,17200,0.0757,0.0979,20,75,1609.34,1986,ACSSTW
Genesee/ACSS/TW,1158,,,,0.3234,1.165,1092,216,1308,,,20500,0.0762,0.0981,20,75,1609.34,1985,ACSSTW
Hudson/ACSS/TW,1158.4,,,,0.4401,1.196,1087.3,400.7,1488,,,31100,0.0754,0.0943,20,75,1609.34,2051,ACSSTW
Catawba/ACSS/TW,1272,,,,0.2901,1.203,1197,174,1371,,,18700,0.0695,0.09,20,75,1609.34,2098,ACSSTW
Nelson/ACSS/TW,1257.1,,,,0.3345,1.213,1184,231.4,1415,,,22100,0.0702,0.0907,20,75,1609.34,2094,ACSSTW
Yukon/ACSS/TW,1233.6,,,,0.455,1.245,1166.7,419.3,1586,,,33200,0.0712,0.0914,20,75,1609.34,2101,ACSSTW
Truckee/ACSS/TW,1372.5,,,,0.3012,1.248,1292,187.6,1479,,,20200,0.0644,0.0838,20,75,1609.34,2203,ACSSTW
Mackenzie/ACSS/TW,1359.7,,,,0.3477,1.259,1281,250,1531,,,23900,0.0649,0.0842,20,75,1609.34,2202,ACSSTW
Thames/ACSS/TW,1334.6,,,,0.472,1.29,1260.1,451.2,1711.3,,,35800,0.0658,0.0847,20,75,1609.34,2209,ACSSTW
St.Croix/ACSS/TW,,,,,0.3123,1.292,1381,201.7,1583,,,21600,0.0602,0.0787,20,75,1609.34,2302,ACSSTW
Miramichi/ACSS/TW,1455.3,,,,0.36,1.302,1372,268,1640,,,25600,0.0607,0.079,20,75,1609.34,2338,ACSSTW
Merrimack/ACSS/TW,1433.6,,,,0.489,1.34,1355.8,484.3,1840.1,,,42000,0.0613,0.0791,20,75,1609.34,2354,ACSSTW
Platte/ACSS/TW,1569,,,,0.3222,1.334,1478,215,1693,,,24600,0.0564,0.074,20,75,1609.34,2439,ACSSTW
Potomac/ACSS/TW,1557.4,,,,0.3723,1.35,1466.9,288.1,1755,,,29000,0.0567,0.0741,20,75,1609.34,2441,ACSSTW
RioGrande/ACSS/TW,,,,,0.506,1.38,1449,519,1968,,,45000,0.0573,0.0742,20,75,1609.34,2456,ACSSTW
Schuylkill/ACSS/TW,1657.4,,,,0.384,1.386,1563,305,1868,,,30900,0.0533,0.07,20,75,1609.34,2539,ACSSTW
Pecos/ACSS/TW,1622,,,,0.532,1.42,1533.7,573.2,2106.9,,,49300,0.0541,0.0703,20,75,1609.34,2551,ACSSTW
PeeDee/ACSS/TW,,,,,0.3957,1.427,1656.4,323.9,1980.3,,,32800,0.0502,0.0663,20,75,1609.34,2637,ACSSTW
James/ACSS/TW,1730.6,,,,0.5375,1.47,1636,585,2221,,,50800,0.0508,0.0663,20,75,1609.34,2657,ACSSTW
Athabaska/ACSS/TW,1949.6,,,,0.4176,1.504,1836,360.7,2197,,,36500,0.0453,0.0595,20,75,1609.34,2808,ACSSTW
Cumberland/ACSS/TW,1926.9,,,,0.5665,1.55,1821,650,2471,,,56400,0.0456,0.06,20,75,1609.34,2802,ACSSTW
Powder/ACSS/TW,2153.8,,,,0.4805,1.602,2042.5,396.1,2438.6,,,45500,0.0412,0.0543,20,75,1609.34,3009,ACSSTW
Santee/ACSS/TW,2627.3,,,,0.531,1.761,2491.5,571.1,3062.6,,,55600,0.0338,0.0459,20,75,1609.34,3403,ACSSTW
Tulip/TW,336.4,,,,,0.612,,,315.2,,,6220,0.0514,0.063,25,75,304.8,502,AACTW
Canna/TW,397.5,,,,,0.661,,,372.4,,,7230,0.0435,0.0534,25,75,304.8,557,AACTW
Cosmos/TW,477,,,,,0.72,,,446.9,,,8530,0.0363,0.0445,25,75,304.8,623,AACTW
Zinnia/TW,500,,,,,0.736,,,468.4,,,8940,0.0346,0.0425,25,75,304.8,641,AACTW
Mistletoe/TW,556.5,,,,,0.775,,,521.3,,,9950,0.0311,0.0383,25,75,304.8,685,AACTW
Meadowsweet/TW,600,,,,,0.803,,,652.1,,,10700,0.0288,0.0355,25,75,304.8,718,AACTW
Orchid/TW,636,,,,,0.825,,,595.8,,,11400,0.0272,0.0335,25,75,304.8,744,AACTW
Verbena/TW,700,,,,,0.864,,,655.7,,,12500,0.0247,0.0305,25,75,304.8,789,AACTW
Nasturtium/TW,750,,,,,0.893,,,702.6,,,13400,0.023,0.0286,25,75,304.8,823,AACTW
Arbutus/TW,795,,,,,0.919,,,744.7,,,13900,0.0217,0.027,25,75,304.8,853,AACTW
Cockscomb/TW,900,,,,,0.99,,,846.6,,,15800,0.0192,0.0239,25,75,304.8,924,AACTW
Magnolia/TW,954,,,,,1.018,,,897.4,,,16700,0.0181,0.0226,25,75,304.8,957,AACTW
Hawkweed/TW,1000,,,,,1.041,,,940.6,,,17500,0.0173,0.0216,25,75,304.8,984,AACTW
Bluebell/TW,1033.5,,,,,1.057,,,972.2,,,18100,0.0167,0.021,25,75,304.8,1004,AACTW
Marigold/TW,1113,,,,,1.095,,,1047,,,19500,0.0155,0.0195,25,75,304.8,1049,AACTW
Hawthorn/TW,1192.5,,,,,1.132,,,1122,,,20900,0.0145,0.0183,25,75,304.8,1094,AACTW
Narcissus/TW,1272,,,,,1.168,,,1196,,,22300,0.0136,0.0173,25,75,304.8,1136,AACTW
Columbine/TW,1351.5,,,,,1.202,,,1271,,,23700,0.0128,0.0163,25,75,304.8,1177,AACTW
Carnation/TW,1431,,,,,1.236,,,1346,,,24600,0.0121,0.0155,25,75,304.8,1218,AACTW
Coreopsis/TW,1590,,,,,1.315,,,1503,,,27300,0.0109,0.0141,25,75,304.8,1298,AACTW
Jessamine/TW,1750,,,,,1.377,,,1654,,,30000,0.0099,0.0129,25,75,304.8,1371,AACTW
Cowslip/TW,2000,,,,,1.468,,,1890,,,34500,0.0086,0.0115,25,75,304.8,1477,AACTW
Lupine/TW,2500,,,,,1.648,,,2369,,,42400,0.007,0.0097,25,75,304.8,1661,AACTW
Trillium/TW,3000,,,,,1.799,,,2843,,,50900,0.0058,0.0084,25,75,304.8,1822,AACTW
Logan/TW,322.5,,,,,0.6,,,302.1,,,5960,0.0536,0.0657,25,75,304.8,489,AACTW
Wheeler/TW,449.4,,,,,0.7,,,421,,,8030,0.0385,0.0472,25,75,304.8,601,AACTW
Robson/TW,595.8,,,,,0.8,,,558.2,,,10700,0.029,0.0358,25,75,304.8,715,AACTW
McKinley/TW,761.5,,,,,0.9,,,713.3,,,13400,0.0227,0.0281,25,75,304.8,831,AACTW
Rainier/TW,918.8,,,,,1,,,864.3,,,16100,0.0188,0.0235,25,75,304.8,935,AACTW
Helens/TW,1123.1,,,,,1.1,,,1056,,,19700,0.0154,0.0194,25,75,304.8,1055,AACTW
Baker/TW,1346.8,,,,,1.2,,,1267,,,23600,0.0128,0.0164,25,75,304.8,1175,AACTW
Hood/TW,1583.2,,,,,1.3,,,1489,,,27200,0.0109,0.0141,25,75,304.8,1292,AACTW
Whitney/TW,1812.7,,,,,1.4,,,1713,,,31100,0.0095,0.0125,25,75,304.8,1398,AACTW
Powell/TW,2093.6,,,,,1.5,,,1978,,,35900,0.0083,0.0112,25,75,304.8,1508,AACTW
Jefferson/TW,2388.1,,,,,1.6,,,2256,,,40100,0.0073,0.01,25,75,304.8,1618,AACTW
Shasta/TW,2667.2,,,,,1.7,,,2528,,,45200,0.0065,0.0092,25,75,304.8,1718,AACTW
Adams/TW,3006.2,,,,,1.8,,,2848,,,51000,0.0059,0.0085,25,75,304.8,1818,AACTW
Partridge/TW,266.8,,,,0.2364,0.595,250,116,366,,,11200,0.3356,0.4103,20,75,1609.34,449,ACSRTW
Linnet/TW,336.4,,,,0.2655,0.667,316,146,462,,,14000,0.2662,0.3255,20,75,1609.34,519,ACSRTW
Oriole/TW,336.4,,,,0.3177,0.693,317,209,526,,,17100,0.265,0.3239,20,75,1609.34,525,ACSRTW
Merlin/TW,336.4,,,,0.1367,0.63,315,50,365,,,8560,0.2693,0.3298,20,75,1609.34,508,ACSRTW
Flicker/TW,477,,,,0.282,0.776,448,165,613,,,17200,0.1884,0.2308,20,75,1609.34,641,ACSRTW
Hawk/TW,477,,,,0.3159,0.789,449,206,655,,,19400,0.1877,0.2299,20,75,1609.34,645,ACSRTW
Hen/TW,477,,,,0.3783,0.82,450,296,746,,,23600,0.1869,0.2287,20,75,1609.34,653,ACSRTW
Parakeet/TW,556.5,,,,0.3045,0.835,523,192,715,,,20000,0.1615,0.198,20,75,1609.34,707,ACSRTW
Dove/TW,556.5,,,,0.3414,0.852,524,241,765,,,22600,0.1609,0.1973,20,75,1609.34,711,ACSRTW
Swift/TW,636,,,,0.1329,0.85,599,47,646,,,13500,0.1435,0.1821,20,75,1609.34,740,ACSRTW
Rook/TW,636,,,,0.3255,0.89,597,219,816,,,22900,0.1413,0.1735,20,75,1609.34,767,ACSRTW
Scoter/TW,636,,,,0.4368,0.942,600,395,995,,,30400,0.1398,0.1714,20,75,1609.34,783,ACSRTW
Grosbeak/TW,636,,,,0.3648,0.908,599,275,873,,,25400,0.1408,0.1728,20,75,1609.34,772,ACSRTW
Tern/TW,795,,,,0.2658,0.96,746,146,892,,,21000,0.1138,0.1405,20,75,1609.34,869,ACSRTW
Puffin/TW,795,,,,0.3324,0.98,747,228,975,,,25900,0.1133,0.1397,20,75,1609.34,876,ACSRTW
Condor/TW,795,,,,0.3639,0.993,747,274,1021,,,28200,0.113,0.1392,20,75,1609.34,880,ACSRTW
Drake/TW,795,,,,0.408,1.01,748,344,1092,,,31800,0.1126,0.1386,20,75,1609.34,886,ACSRTW
Phoenix/TW,954,,,,0.2511,1.044,898,131,1029,,,23700,0.0954,0.1217,20,75,1609.34,956,ACSRTW
Rail/TW,954,,,,0.2913,1.061,900,175,1075,,,25900,0.0953,0.1214,20,75,1609.34,960,ACSRTW
Cardinal/TW,954,,,,0.3987,1.084,897,329,1226,,,33500,0.0942,0.1164,20,75,1609.34,985,ACSRTW
Snowbird/TW,1033.5,,,,0.2613,1.089,974,141,1115,,,25700,0.088,0.1126,20,75,1609.34,1004,ACSRTW
Ortolan/TW,1033.5,,,,0.303,1.102,975,190,1165,,,28100,0.0879,0.1123,20,75,1609.34,1008,ACSRTW
Curlew/TW,1033.5,,,,0.4149,1.129,971,356,1327,,,36300,0.0869,0.1077,20,75,1609.34,1035,ACSRTW
Avocet/TW,1113,,,,0.2712,1.129,1049,152,1201,,,27500,0.0818,0.1048,20,75,1609.34,1050,ACSRTW
Bluejay/TW,1113,,,,0.3147,1.143,1049,205,1254,,,30300,0.0816,0.1045,20,75,1609.34,1055,ACSRTW
Finch/TW,1113,,,,0.431,1.185,1053,376,1429,,,39100,0.0812,0.1035,20,75,1609.34,1071,ACSRTW
Oxbird/TW,1192.5,,,,0.2808,1.167,1123,163,1286,,,29500,0.0763,0.0981,20,75,1609.34,1095,ACSRTW
Bunting/TW,1192.5,,,,0.3255,1.181,1124,219,1343,,,32400,0.0762,0.0978,20,75,1609.34,1100,ACSRTW
Grackel/TW,1192.5,,,,0.446,1.225,1127,403,1530,,,41900,0.0758,0.0968,20,75,1609.34,1117,ACSRTW
Scissortail/TW,1272,,,,0.2901,1.203,1198,174,1372,,,31400,0.0715,0.0922,20,75,1609.34,1139,ACSRTW
Bittern/TW,1272,,,,0.3363,1.22,1198,235,1433,,,34600,0.0714,0.0919,20,75,1609.34,1145,ACSRTW
Pheasant/TW,1272,,,,0.4605,1.264,1202,430,1632,,,44100,0.0711,0.0909,20,75,1609.34,1162,ACSRTW
Dipper/TW,1351.5,,,,0.3465,1.256,1274,248,1522,,,36700,0.0672,0.0868,20,75,1609.34,1187,ACSRTW
Martin/TW,1351.5,,,,0.4745,1.3,1278,456,1734,,,46800,0.0669,0.0858,20,75,1609.34,1205,ACSRTW
Bobolink/TW,1431,,,,0.3567,1.291,1350,263,1613,,,38900,0.0635,0.0822,20,75,1609.34,1229,ACSRTW
Plover/TW,1431,,,,0.4885,1.337,1353,483,1836,,,49600,0.0632,0.0812,20,75,1609.34,1248,ACSRTW
Lapwing/TW,1590,,,,0.3759,1.358,1500,292,1792,,,42200,0.0572,0.0745,20,75,1609.34,1308,ACSRTW
Falcon/TW,1590,,,,0.515,1.408,1503,537,2040,,,55100,0.0569,0.0735,20,75,1609.34,1330,ACSRTW
Chukar/TW,1780,,,,0.437,1.445,1676,387,2063,,,50700,0.0509,0.0667,20,75,1609.34,1405,ACSRTW
Bluebird/TW,2156,,,,0.4805,1.608,2047,468,2515,,,61100,0.0424,0.0554,20,75,1609.34,1585,ACSRTW
Monongahela/TW,405.1,,,,0.152,0.68,380,61,441,,,10200,0.2236,0.2741,20,75,1609.34,568,ACSRTW
Mohawk/TW,571.7,,,,0.309,0.846,537,198,735,,,20600,0.1572,0.1928,20,75,1609.34,717,ACSRTW
Calumet/TW,565.3,,,,0.3441,0.858,531,245,776,,,22900,0.1584,0.1942,20,75,1609.34,717,ACSRTW
Mystic/TW,666.6,,,,0.3333,0.913,626,230,856,,,24000,0.1348,0.1656,20,75,1609.34,790,ACSRTW
Oswego/TW,664.8,,,,0.3732,0.927,625,288,913,,,26600,0.1347,0.1654,20,75,1609.34,793,ACSRTW
Nechako/TW,768.9,,,,0.152,0.93,724,61,785,,,16400,0.1187,0.151,20,75,1609.34,832,ACSRTW
