CodeWord,Size,Stranding,IndDiamAl,IndDiamSt,DiamStlCore,DiamCompleteCable,Weightper1000ftAl,Weightper1000ftStl,Weightper1000ftTotal,Al,Stl,RatedStrength,ResistanceDCLowdegc,ResistanceACHighdegc,LowTemp,HighTemp,MetersperResistanceInterval,AllowableAmpacity,Type,ResistanceACLowdegc,ResistanceACLowdegcMeter,ResistanceACHighdegcMeter,simulated,convergeCurrent,lowestRise,convergenceOrder,Cmax,Cmin
Rail/ACSS,954,45/7,0.1456,0.0971,0.2912,1.165,898.5,175.3,1073.8,16700,18000,20400,0.0175,0.022,20,75,304.8,1824,ACSS,0.0175,5.74E-05,7.22E-05,1,0.01,0.04464412,2.16103268,0.156381226,1.89E-09
Towhee/ACSS,954,48/7,0.141,0.1097,0.329,1.175,898.5,223.7,1122.2,19700,21300,24300,0.0175,0.0218,20,75,304.8,1842,ACSS,0.0175,5.74E-05,7.15E-05,1,0.01,0.045734194,2.161833689,0.156468509,2.41E-10
Cardinal/ACSS,954,54/7,0.1329,0.1329,0.3987,1.196,898.6,328.7,1227.2,26000,28000,32300,0.0174,0.0223,20,75,304.8,1825,ACSS,0.0174,5.71E-05,7.32E-05,1,0.01,0.042082334,2.159065766,0.156282629,2.26E-09
Canvasback/ACSS,954,30/19,0.1783,0.107,0.535,1.248,900.7,579.4,1480.1,41100,45400,53100,0.0172,0.0214,20,75,304.8,1897,ACSS,0.0172,5.64E-05,7.02E-05,1,0.01,0.045016921,2.160453487,0.15656496,7.80E-09
Snowbird/ACSS,1033.5,42/7,0.1569,0.0871,0.2614,1.203,973.4,141.3,1114.7,15400,16500,18500,0.0162,0.0204,20,75,304.8,1924,ACSS,0.0162,5.31E-05,6.69E-05,1,0.01,0.044424118,2.160807478,0.156431736,3.72E-09
Ortolan/ACSS,1033.5,45/7,0.1515,0.101,0.3031,1.212,973.4,190,1163.4,18100,19500,22000,0.0162,0.0204,20,75,304.8,1921,ACSS,0.0162,5.31E-05,6.69E-05,1,0.01,0.043983776,2.160193982,0.156448827,2.03E-09
Curlew/ACSS,1033.5,54/7,0.1383,0.1383,0.415,1.245,973.4,356.2,1329.6,28200,30300,35000,0.0161,0.0206,20,75,304.8,1924,ACSS,0.0161,5.28E-05,6.76E-05,1,0.01,0.041712332,2.158222464,0.156254414,1.97E-09
Bluejay/ACSS,1113,45/7,0.1573,0.1048,0.3145,1.258,1048.3,204.5,1252.8,19500,21100,23800,0.015,0.019,20,75,304.8,2017,ACSS,0.015,4.92E-05,6.23E-05,1,0.01,0.042910021,2.159115316,0.156351035,2.20E-09
Finch/ACSS,1113,54/19,0.1436,0.0861,0.4307,1.292,1053.4,375.5,1428.9,30400,33200,38700,0.015,0.0193,20,75,304.8,2015,ACSS,0.015,4.92E-05,6.33E-05,1,0.01,0.040745037,2.157171551,0.156269456,9.30E-10
Bunting/ACSS,1192.5,45/7,0.1628,0.1085,0.3256,1.302,1123.2,219.2,1342.4,21400,23500,25400,0.014,0.0178,20,75,304.8,2110,ACSS,0.014,4.59E-05,5.84E-05,1,0.01,0.042132361,2.158078806,0.156326195,3.37E-09
Bittern/ACSS,1272,45/7,0.1681,0.1121,0.3363,1.345,1198,234,1432,22300,24000,27100,0.0131,0.0167,20,75,304.8,2201,ACSS,0.0131,4.30E-05,5.48E-05,1,0.01,0.041388058,2.156980049,0.156368997,4.23E-10
Pheasant/ACSS,1272,54/19,0.1535,0.0921,0.4604,1.381,1203.9,429.2,1633.1,34100,37300,43000,0.0131,0.0169,20,75,304.8,2200,ACSS,0.0131,4.30E-05,5.54E-05,1,0.01,0.039573733,2.155478938,0.156241462,1.94E-09
Dipper/ACSS,1351,45/7,0.1733,0.1155,0.3465,1.386,1272.5,248.3,1520.8,23700,25500,28800,0.0124,0.0158,20,75,304.8,2289,ACSS,0.0124,4.07E-05,5.18E-05,1,0.01,0.041165138,2.156673978,0.156335626,1.72E-09
Martin/ACSS,1351,54/19,0.1582,0.0949,0.4745,1.424,1278.7,455.8,1734.5,36200,39600,45600,0.0123,0.016,20,75,304.8,2288,ACSS,0.0123,4.04E-05,5.25E-05,1,0.01,0.038480387,2.154193311,0.156172726,5.05E-09
Bobolink/ACSS,1431,45/7,0.1783,0.1189,0.3566,1.427,1347.8,263,1610.8,25100,27000,30500,0.0117,0.015,20,75,304.8,2375,ACSS,0.0117,3.84E-05,4.92E-05,1,0.01,0.040250251,2.155660976,0.156230696,4.87E-09
Plover/ACSS,1431,54/19,0.1628,0.0977,0.4884,1.465,1354.4,482.8,1837.2,38400,41900,48300,0.0117,0.0151,20,75,304.8,2375,ACSS,0.0117,3.84E-05,4.95E-05,1,0.01,0.038845439,2.154035177,0.15627825,9.30E-09
Nuthatch/ACSS,1510,45/7,0.1832,0.1221,0.3664,1.465,1422.2,277.5,1699.7,26500,28100,31800,0.0111,0.0143,20,75,304.8,2459,ACSS,0.0111,3.64E-05,4.69E-05,1,0.01,0.039584097,2.155007552,0.156229244,9.09E-09
Parrot/ACSS,1510,54/19,0.1672,0.1003,0.5017,1.505,1429.2,509.5,1938.7,40400,44200,51000,0.011,0.0144,20,75,304.8,2460,ACSS,0.011,3.61E-05,4.72E-05,1,0.01,0.037287704,2.152852047,0.156081859,2.27E-09
Ratite/ACSS,1590,42/7,0.1946,0.1081,0.3243,1.492,1497.6,217.4,1715,23400,25000,27900,0.0105,0.0136,20,75,304.8,2543,ACSS,0.0105,3.44E-05,4.46E-05,1,0.01,0.038992356,2.154762175,0.156180399,1.65E-08
Lapwing/ACSS,1590,45/7,0.188,0.1253,0.3759,1.504,1497.6,292.2,1789.8,27900,29600,33500,0.0105,0.0136,20,75,304.8,2543,ACSS,0.0105,3.44E-05,4.46E-05,1,0.01,0.038698621,2.154155641,0.156198087,5.13E-09
Falcon/ACSS,1590,54/19,0.1716,0.103,0.5148,1.544,1504.9,536.5,2041.4,42600,46600,53700,0.0105,0.0137,20,75,304.8,2545,ACSS,0.0105,3.44E-05,4.49E-05,1,0.01,0.03734966,2.152490095,0.15612607,9.27E-09
Chukar/ACSS,1780,84/19,0.1456,0.0873,0.4367,1.601,1684.7,386.1,2070.8,35400,38200,43900,0.0094,0.0122,20,75,304.8,2751,ACSS,0.0094,3.08E-05,4.00E-05,1,0.01,0.037993808,2.153005225,0.156131625,2.37E-08
Mockingbird/ACSS,2034.5,72/7,0.1681,0.1121,0.3362,1.681,1925.6,233.7,2159.3,27200,28900,32000,0.0083,0.011,20,75,304.8,2960,ACSS,0.0083,2.72E-05,3.61E-05,1,0.01,0.035747537,2.151813397,0.155870441,3.44E-09
Roadrunner/ACSS,2057,76/19,0.1645,0.0768,0.3839,1.7,1946.9,298.3,2245.2,31700,33900,38300,0.0082,0.0108,20,75,304.8,2992,ACSS,0.0082,2.69E-05,3.54E-05,1,0.01,0.036074041,2.152862277,0.156005307,2.63E-09
Bluebird/ACSS,2156,84/19,0.1602,0.0961,0.4806,1.762,2040.6,467.6,2508.2,42100,45500,51700,0.0078,0.0103,20,75,304.8,3106,ACSS,0.0078,2.56E-05,3.38E-05,1,0.01,0.035538656,2.151294078,0.155919584,2.50E-09
Kiwi/ACSS,2167,72/7,0.1735,0.1157,0.347,1.735,2051,248.9,2299.9,29000,30800,34100,0.0078,0.0104,20,75,304.8,3080,ACSS,0.0078,2.56E-05,3.41E-05,1,0.01,0.034892939,2.149310718,0.155829464,1.71E-09
Thrasher/ACSS,2312,76/19,0.1744,0.0814,0.407,1.802,2188.2,335.3,2523.5,35600,38100,43000,0.0073,0.0098,20,75,304.8,3218,ACSS,0.0073,2.40E-05,3.22E-05,1,0.01,0.033932479,2.146386889,0.155679153,2.37E-09
Joree/ACSS,2515,76/19,0.1819,0.0849,0.4245,1.88,2380.4,364.7,2745.1,38700,41400,46800,0.0067,0.0092,20,75,304.8,3390,ACSS,0.0067,2.20E-05,3.02E-05,1,0.01,0.031785128,2.13947209,0.155273938,4.73E-09
ACAR355,355,7-Dec,0.1367,0.1367,NaN,0.683,NaN,NaN,332.1,NaN,NaN,8500,0.0514,0.0624,20,75,304.8,519,ACAR,0.0514,0.000168635,0.000204724,1,0.01,0.019974575,2.097152853,0.159374234,3.03E-09
ACAR465.9,465.9,7-Dec,0.1566,0.1566,NaN,0.783,NaN,NaN,435.8,NaN,NaN,11000,0.0392,0.0477,20,75,304.8,616,ACAR,0.0392,0.000128609,0.000156496,1,0.01,0.018714741,2.090706181,0.159252878,3.43E-09
ACAR503.6,503.6,7-Dec,0.1628,0.1628,NaN,0.814,NaN,NaN,471.1,NaN,NaN,11900,0.0362,0.0441,20,75,304.8,646,ACAR,0.0362,0.000118766,0.000144685,1,0.01,0.018273072,2.088358485,0.159167845,3.69E-10
ACAR653.1,653.1,7-Dec,0.1854,0.1854,NaN,0.927,NaN,NaN,611,NaN,NaN,15400,0.0279,0.0342,20,75,304.8,760,ACAR,0.0279,9.15E-05,0.000112205,1,0.01,0.017016242,2.081398277,0.173559642,9.77E-09
ACAR739.8,739.8,30/7,0.1414,0.1414,NaN,0.99,NaN,NaN,692.7,NaN,NaN,15300,0.024,0.0296,20,75,304.8,831,ACAR,0.024,7.87E-05,9.71E-05,1,0.01,0.016269091,2.076954125,0.216437959,1.95E-09
ACAR739.8,739.8,18/19,0.1414,0.1414,NaN,0.99,NaN,NaN,691.6,NaN,NaN,18800,0.0252,0.0308,20,75,304.8,814,ACAR,0.0252,8.27E-05,0.00010105,1,0.01,0.016601426,2.079025793,0.268176188,1.01E-09
ACAR853.7,853.7,30/7,0.1519,0.1519,NaN,1.063,NaN,NaN,799.3,NaN,NaN,17500,0.0208,0.0257,20,75,304.8,907,ACAR,0.0208,6.82E-05,8.43E-05,1,0.01,0.015628866,2.073079385,0.313563022,1.15E-09
ACAR853.7,853.7,18/19,0.1519,0.1519,NaN,1.063,NaN,NaN,798,NaN,NaN,21500,0.0218,0.0268,20,75,304.8,890,ACAR,0.0218,7.15E-05,8.79E-05,1,0.01,0.015882432,2.074707041,0.235306113,1.19E-09
ACAR927.2,927.2,30/7,0.1583,0.1583,NaN,1.108,NaN,NaN,868.2,NaN,NaN,19000,0.0192,0.0238,20,75,304.8,955,ACAR,0.0192,6.30E-05,7.81E-05,1,0.01,0.015283551,2.070853922,0.996618773,8.60E-10
ACAR927.2,927.2,18/19,0.1583,0.1583,NaN,1.108,NaN,NaN,866.7,NaN,NaN,23400,0.0201,0.0247,20,75,304.8,936,ACAR,0.0201,6.59E-05,8.10E-05,1,0.023333333,0.050372191,2.133198057,0.13473815,6.22E-10
ACAR1024.5,1024.5,30/7,0.1664,0.1664,NaN,1.165,NaN,NaN,959.3,NaN,NaN,20900,0.0173,0.0216,20,75,304.8,1015,ACAR,0.0173,5.68E-05,7.09E-05,1,0.023333333,0.04917077,2.129896861,0.135078108,1.59E-09
ACAR1024.5,1024.5,18/19,0.1664,0.1664,NaN,1.165,NaN,NaN,957.7,NaN,NaN,25800,0.0182,0.0225,20,75,304.8,995,ACAR,0.0182,5.97E-05,7.38E-05,1,0.023333333,0.049292077,2.131342549,0.134911219,1.75E-09
ACAR1081,1081,30/7,0.1709,0.1709,NaN,1.196,NaN,NaN,1012.1,NaN,NaN,22100,0.0164,0.0205,20,75,304.8,1048,ACAR,0.0164,5.38E-05,6.73E-05,1,0.023333333,0.049874026,2.128621428,0.135274543,1.66E-09
ACAR1081,1081,18/19,0.1709,0.1709,NaN,1.196,NaN,NaN,1010.5,NaN,NaN,27200,0.0172,0.0213,20,75,304.8,1028,ACAR,0.0172,5.64E-05,6.99E-05,1,0.023333333,0.049978503,2.130298735,0.135043478,1.82E-09
ACAR1109,1109,30/7,0.1731,0.1731,NaN,1.212,NaN,NaN,1038.4,NaN,NaN,22700,0.016,0.02,20,75,304.8,1065,ACAR,0.016,5.25E-05,6.56E-05,1,0.023333333,0.049591666,2.128092866,0.135289089,7.83E-10
ACAR1109,1109,18/19,0.1731,0.1731,NaN,1.212,NaN,NaN,1036.6,NaN,NaN,27900,0.0168,0.0208,20,75,304.8,1044,ACAR,0.0168,5.51E-05,6.82E-05,1,0.023333333,0.049681061,2.129835249,0.135342131,2.34E-10
ACAR1172,1172,30/7,0.178,0.178,NaN,1.246,NaN,NaN,1097.3,NaN,NaN,24000,0.0152,0.019,20,75,304.8,1101,ACAR,0.0152,4.99E-05,6.23E-05,1,0.023333333,0.050414903,2.127218228,0.135485834,9.03E-10
ACAR1172,1172,18/19,0.178,0.178,NaN,1.246,NaN,NaN,1095.5,NaN,NaN,29500,0.0159,0.0198,20,75,304.8,1080,ACAR,0.0159,5.22E-05,6.50E-05,1,0.023333333,0.049167283,2.128202814,0.135430176,1.27E-09
ACAR1197,1197,30/7,0.1799,0.1799,NaN,1.259,NaN,NaN,1120.8,NaN,NaN,24500,0.0148,0.0187,20,75,304.8,1115,ACAR,0.0148,4.86E-05,6.14E-05,1,0.023333333,0.050172098,2.124849033,0.135556532,5.26E-09
ACAR1197,1197,18/19,0.1799,0.1799,NaN,1.259,NaN,NaN,1118.9,NaN,NaN,30200,0.0156,0.0194,20,75,304.8,1094,ACAR,0.0156,5.12E-05,6.36E-05,1,0.023333333,0.050394243,2.12811598,0.135471165,3.37E-09
ACAR1280,1280,30/7,0.186,0.186,NaN,1.302,NaN,NaN,1198.5,NaN,NaN,26200,0.0139,0.0175,20,75,304.8,1160,ACAR,0.0139,4.56E-05,5.74E-05,1,0.023333333,0.050617343,2.12399491,0.135714771,3.06E-09
ACAR1280,1280,18/19,0.186,0.186,NaN,1.302,NaN,NaN,1196.5,NaN,NaN,32200,0.0146,0.0182,20,75,304.8,1139,ACAR,0.0146,4.79E-05,5.97E-05,1,0.023333333,0.049530094,2.126316994,0.135666354,3.34E-09
ACAR1361,1361,42/19,0.1494,0.1494,NaN,1.344,NaN,NaN,1273.6,NaN,NaN,30300,0.0133,0.0168,20,75,304.8,1196,ACAR,0.0133,4.36E-05,5.51E-05,1,0.023333333,0.049977831,2.122473791,0.135963378,2.32E-09
ACAR1527,1527,42/19,0.1582,0.1582,NaN,1.424,NaN,NaN,1428.8,NaN,NaN,33600,0.0118,0.0151,20,75,304.8,1314,ACAR,0.0118,3.87E-05,4.95E-05,1,0.023333333,0.049532688,2.121354148,0.135665521,5.59E-09
ACAR1703,1703,42/19,0.1671,0.1671,NaN,1.504,NaN,NaN,1593.5,NaN,NaN,37500,0.0106,0.0137,20,75,304.8,1363,ACAR,0.0106,3.48E-05,4.49E-05,1,0.023333333,0.050415213,2.113212775,0.136649964,2.52E-09
ACAR1933,1933,42/19,0.178,0.178,NaN,1.602,NaN,NaN,1808.8,NaN,NaN,42500,0.00936,0.0123,20,75,304.8,1465,ACAR,0.00936,3.07E-05,4.04E-05,1,0.023333333,0.050490872,2.107404169,0.136977023,2.77E-09
ACAR2267,2267,42/19,0.1928,0.1928,NaN,1.735,NaN,NaN,2142,NaN,NaN,49900,0.00806,0.0108,20,75,304.8,1594,ACAR,0.00806,2.64E-05,3.54E-05,1,0.023333333,0.050909063,2.099705042,0.13734335,2.08E-09
ACAR2493,2493,72/19,0.1655,0.1655,NaN,1.821,NaN,NaN,2356.9,NaN,NaN,50400,0.00722,0.0099,20,75,304.8,1687,ACAR,0.00722,2.37E-05,3.25E-05,1,0.023333333,0.046742241,2.092399942,0.13775825,3.08E-10
ACAR2493,2493,54/37,0.1655,0.1655,NaN,1.821,NaN,NaN,2354.5,NaN,NaN,57600,0.00743,0.0101,20,75,304.8,1670,ACAR,0.00743,2.44E-05,3.31E-05,1,0.023333333,0.047900094,2.09452946,0.137624677,3.67E-10
Akron,30.58,7,0.0661,NaN,NaN,0.198,NaN,NaN,28.5,NaN,NaN,1110,0.659,0.785,20,75,304.8,107,AAAC,0.659,0.002162073,0.002575459,1,0.01,0.037301511,2.147408865,0.157359244,2.99E-09
Alton,48.69,7,0.0834,NaN,NaN,0.25,NaN,NaN,45.4,NaN,NaN,1760,0.414,0.493,20,75,304.8,143,AAAC,0.414,0.001358268,0.001617454,1,0.01,0.033379135,2.139039946,0.15842133,1.43E-08
Ames,77.47,7,0.1052,NaN,NaN,0.316,NaN,NaN,72.2,NaN,NaN,2800,0.26,0.31,20,75,304.8,191,AAAC,0.26,0.000853018,0.00101706,1,0.01,0.029728422,2.130676259,0.158943205,3.80E-09
Azusa,123.3,7,0.1327,NaN,NaN,0.398,NaN,NaN,115,NaN,NaN,4280,0.163,0.195,20,75,304.8,256,AAAC,0.163,0.000534777,0.000639764,1,0.01,0.026617316,2.122880358,0.159138867,6.58E-10
Anaheim,155.4,7,0.149,NaN,NaN,0.447,NaN,NaN,144.9,NaN,NaN,5390,0.13,0.154,20,75,304.8,296,AAAC,0.13,0.000426509,0.000505249,1,0.01,0.025670823,2.119368559,0.159574756,2.70E-10
Amherst,195.7,7,0.1672,NaN,NaN,0.502,NaN,NaN,182.5,NaN,NaN,6790,0.103,0.123,20,75,304.8,342,AAAC,0.103,0.000337927,0.000403543,1,0.01,0.023991873,2.115365313,0.159586272,1.22E-09
Alliance,246.9,7,0.1878,NaN,NaN,0.563,NaN,NaN,230.2,NaN,NaN,8560,0.0816,0.0973,20,75,304.8,395,AAAC,0.0816,0.000267717,0.000319226,1,0.01,0.02271924,2.109966765,0.159543258,5.42E-09
Butte,312.8,19,0.1283,NaN,NaN,0.642,NaN,NaN,291.7,NaN,NaN,10500,0.0644,0.0769,20,75,304.8,460,AAAC,0.0644,0.000211286,0.000252297,1,0.01,0.021349613,2.103773663,0.159498181,2.31E-09
Canton,394.5,19,0.1441,NaN,NaN,0.721,NaN,NaN,367.9,NaN,NaN,13300,0.0511,0.061,20,75,304.8,532,AAAC,0.0511,0.000167651,0.000200131,1,0.01,0.020238748,2.098538735,0.159524736,3.21E-09
Cairo,465.4,19,0.1565,NaN,NaN,0.783,NaN,NaN,434,NaN,NaN,15600,0.0433,0.0518,20,75,304.8,590,AAAC,0.0433,0.00014206,0.000169948,1,0.01,0.019403862,2.094393376,0.159504006,7.28E-09
Darien,559.5,19,0.1716,NaN,NaN,0.858,NaN,NaN,521.7,NaN,NaN,18800,0.036,0.0431,20,75,304.8,663,AAAC,0.036,0.00011811,0.000141404,1,0.01,0.018608704,2.090377323,0.15955315,1.04E-08
Elgin,652.4,19,0.1853,NaN,NaN,0.927,NaN,NaN,608.4,NaN,NaN,21900,0.0309,0.0371,20,75,304.8,729,AAAC,0.0309,0.000101378,0.000121719,1,0.01,0.017837067,2.086164175,0.159381824,1.38E-08
Flint,740.8,37,0.1415,NaN,NaN,0.991,NaN,NaN,690.8,NaN,NaN,24400,0.0272,0.0327,20,75,304.8,790,AAAC,0.0272,8.92E-05,0.000107283,1,0.01,0.017243769,2.082881399,0.181852119,8.45E-10
Greeley,927.2,37,0.1583,NaN,NaN,1.108,NaN,NaN,864.6,NaN,NaN,30500,0.0217,0.0263,20,75,304.8,908,AAAC,0.0217,7.12E-05,8.63E-05,1,0.01,0.016115654,2.07626198,0.853104697,2.24E-09
Peachbell,6,7,0.0612,NaN,NaN,0.184,NaN,NaN,25,NaN,NaN,563,0.658,0.805,20,75,304.8,103,AAC,0.658,0.002158793,0.002641076,1,0.01,0.035811265,2.142944336,0.156485388,6.58E-09
Rose,4,7,0.0772,NaN,NaN,0.232,NaN,NaN,39,NaN,NaN,881,0.414,0.506,20,75,304.8,138,AAC,0.414,0.001358268,0.001660105,1,0.01,0.032315402,2.139290583,0.157693292,1.75E-08
Iris,2,7,0.0974,NaN,NaN,0.292,NaN,NaN,62,NaN,NaN,1350,0.26,0.318,20,75,304.8,185,AAC,0.26,0.000853018,0.001043307,1,0.01,0.029117448,2.13170759,0.158324916,6.27E-09
Pansy,1,7,0.1093,NaN,NaN,0.328,NaN,NaN,78,NaN,NaN,1640,0.207,0.252,20,75,304.8,214,AAC,0.207,0.000679134,0.000826772,1,0.01,0.027874253,2.127934346,0.158579154,5.97E-09
Poppy,0,7,0.1228,NaN,NaN,0.368,NaN,NaN,99,NaN,NaN,1990,0.164,0.2,20,75,304.8,247,AAC,0.164,0.000538058,0.000656168,1,0.01,0.026239978,2.123837652,0.158942242,2.99E-09
Aster,0,7,0.1379,NaN,NaN,0.414,NaN,NaN,125,NaN,NaN,2510,0.13,0.159,20,75,304.8,286,AAC,0.13,0.000426509,0.000521654,1,0.01,0.024756927,2.118038365,0.158989455,8.30E-09
Phlox,0,7,0.1548,NaN,NaN,0.464,NaN,NaN,157,NaN,NaN,3040,0.103,0.126,20,75,304.8,331,AAC,0.103,0.000337927,0.000413386,1,0.01,0.023499722,2.112892265,0.159033687,3.06E-09
Oxlip,0,7,0.1739,NaN,NaN,0.522,NaN,NaN,198,NaN,NaN,3830,0.0817,0.0999,20,75,304.8,383,AAC,0.0817,0.000268045,0.000327756,1,0.01,0.022260508,2.107583238,0.15906476,2.93E-09
Sneezewort,250,7,0.189,NaN,NaN,0.567,NaN,NaN,234,NaN,NaN,4520,0.0691,0.0846,20,75,304.8,425,AAC,0.0691,0.000226706,0.000277559,1,0.01,0.021348075,2.103460568,0.159101752,2.90E-09
Valerian,250,19,0.1147,NaN,NaN,0.574,NaN,NaN,234,NaN,NaN,4660,0.0691,0.0846,20,75,304.8,426,AAC,0.0691,0.000226706,0.000277559,1,0.01,0.021194791,2.102790359,0.159142769,1.61E-09
Daisy,266.8,7,0.1952,NaN,NaN,0.586,NaN,NaN,250,NaN,NaN,4830,0.0648,0.0793,20,75,304.8,443,AAC,0.0648,0.000212598,0.000260171,1,0.01,0.021073967,2.102220354,0.159154777,1.27E-09
Laurel,266.8,19,0.1185,NaN,NaN,0.592,NaN,NaN,250,NaN,NaN,4970,0.0648,0.0793,20,75,304.8,444,AAC,0.0648,0.000212598,0.000260171,1,0.01,0.020960363,2.101707407,0.159159555,5.29E-09
Peony,300,19,0.1257,NaN,NaN,0.628,NaN,NaN,281,NaN,NaN,5480,0.0576,0.0706,20,75,304.8,478,AAC,0.0576,0.000188976,0.000231627,1,0.01,0.02033869,2.098703799,0.159033681,1.47E-08
Tulip,336.4,19,0.1331,NaN,NaN,0.665,NaN,NaN,315,NaN,NaN,6150,0.0514,0.063,20,75,304.8,513,AAC,0.0514,0.000168635,0.000206693,1,0.01,0.019769686,2.096021012,0.15916455,1.49E-09
Daffodil,350,19,0.1357,NaN,NaN,0.679,NaN,NaN,328,NaN,NaN,6390,0.0494,0.0605,20,75,304.8,526,AAC,0.0494,0.000162073,0.000198491,1,0.01,0.019596013,2.095082718,0.159125643,5.70E-09
Canna,397.5,19,0.1446,NaN,NaN,0.723,NaN,NaN,373,NaN,NaN,7110,0.0435,0.0534,20,75,304.8,570,AAC,0.0435,0.000142717,0.000175197,1,0.01,0.018991632,2.092118051,0.159194046,1.92E-09
Goldentuft,450,19,0.1539,NaN,NaN,0.769,NaN,NaN,422,NaN,NaN,7890,0.0384,0.0472,20,75,304.8,616,AAC,0.0384,0.000125984,0.000154856,1,0.01,0.018401266,2.089015842,0.159149612,6.56E-10
Cosmos,477,19,0.1584,NaN,NaN,0.792,NaN,NaN,447,NaN,NaN,8360,0.0362,0.0445,20,75,304.8,639,AAC,0.0362,0.000118766,0.000145997,1,0.01,0.01813473,2.087550786,0.159100161,7.42E-10
Syringa,477,37,0.1135,NaN,NaN,0.795,NaN,NaN,447,NaN,NaN,8690,0.0362,0.0445,20,75,304.8,639,AAC,0.0362,0.000118766,0.000145997,1,0.01,0.018069431,2.087194143,0.159060615,1.01E-09
Zinnia,500,19,0.1622,NaN,NaN,0.811,NaN,NaN,469,NaN,NaN,8760,0.0346,0.0425,20,75,304.8,658,AAC,0.0346,0.000113517,0.000139436,1,0.01,0.017977521,2.086659504,0.15904676,1.83E-09
Hyacinth,500,37,0.1162,NaN,NaN,0.814,NaN,NaN,469,NaN,NaN,9110,0.0346,0.0425,20,75,304.8,658,AAC,0.0346,0.000113517,0.000139436,1,0.01,0.017914292,2.086332033,0.159005123,3.18E-10
Dahlia,556.5,19,0.1711,NaN,NaN,0.856,NaN,NaN,522,NaN,NaN,9750,0.0311,0.0382,20,75,304.8,703,AAC,0.0311,0.000102034,0.000125328,1,0.01,0.017498366,2.084098083,0.159105219,2.56E-09
Mistletoe,556.5,37,0.1226,NaN,NaN,0.858,NaN,NaN,522,NaN,NaN,9940,0.0311,0.0382,20,75,304.8,704,AAC,0.0311,0.000102034,0.000125328,1,0.01,0.017506881,2.084187636,0.159201105,2.06E-09
Meadowsweet,600,37,0.1273,NaN,NaN,0.891,NaN,NaN,562,NaN,NaN,10700,0.0228,0.0355,20,75,304.8,738,AAC,0.0228,7.48E-05,0.00011647,1,0.023333333,0.041929384,2.081065183,0.134471575,2.60E-09
Orchid,636,37,0.1311,NaN,NaN,0.918,NaN,NaN,596,NaN,NaN,11400,0.0272,0.0335,20,75,304.8,765,AAC,0.0272,8.92E-05,0.000109908,1,0.01,0.016858999,2.080462452,0.168117159,4.56E-09
Heuchera,650,37,0.1325,NaN,NaN,0.928,NaN,NaN,609,NaN,NaN,11600,0.0266,0.0328,20,75,304.8,775,AAC,0.0266,8.73E-05,0.000107612,1,0.01,0.016714967,2.079574054,0.162752678,5.18E-09
Verbena,700,37,0.1375,NaN,NaN,0.963,NaN,NaN,656,NaN,NaN,12500,0.0247,0.0305,20,75,304.8,812,AAC,0.0247,8.10E-05,0.000100066,1,0.01,0.016398502,2.077689353,0.199655389,3.51E-09
Flag,700,61,0.1071,NaN,NaN,0.964,NaN,NaN,656,NaN,NaN,12900,0.0247,0.0305,20,75,304.8,812,AAC,0.0247,8.10E-05,0.000100066,1,0.01,0.01638225,2.077668283,0.240593827,2.69E-09
Violet,715.5,37,0.1391,NaN,NaN,0.973,NaN,NaN,671,NaN,NaN,12800,0.0242,0.0299,20,75,304.8,823,AAC,0.0242,7.94E-05,9.81E-05,1,0.01,0.016324024,2.077342501,0.246232963,3.74E-09
Nasturtium,715.5,61,0.1083,NaN,NaN,0.975,NaN,NaN,671,NaN,NaN,13100,0.0242,0.0299,20,75,304.8,823,AAC,0.0242,7.94E-05,9.81E-05,1,0.01,0.01629203,2.077092008,0.251451278,2.50E-09
Petunia,750,37,0.1424,NaN,NaN,0.997,NaN,NaN,703,NaN,NaN,13100,0.023,0.0286,20,75,304.8,847,AAC,0.023,7.55E-05,9.38E-05,1,0.01,0.015897894,2.07465409,0.225871943,2.55E-09
Cattail,750,61,0.1109,NaN,NaN,0.998,NaN,NaN,703,NaN,NaN,13500,0.023,0.0286,20,75,304.8,847,AAC,0.023,7.55E-05,9.38E-05,1,0.01,0.015882669,2.074597636,0.197796046,1.42E-09
Arbutus,795,37,0.1466,NaN,NaN,1.026,NaN,NaN,745,NaN,NaN,13900,0.0217,0.027,20,75,304.8,878,AAC,0.0217,7.12E-05,8.86E-05,1,0.01,0.015657822,2.073212688,0.344514184,1.30E-09
Lilac,795,61,0.1142,NaN,NaN,1.027,NaN,NaN,745,NaN,NaN,14300,0.0217,0.027,20,75,304.8,879,AAC,0.0217,7.12E-05,8.86E-05,1,0.01,0.015677333,2.073309529,0.214447114,1.98E-09
Cockscomb,900,37,0.156,NaN,NaN,1.092,NaN,NaN,844,NaN,NaN,15400,0.0192,0.0239,20,75,304.8,948,AAC,0.0192,6.30E-05,7.84E-05,1,0.01,0.01518572,2.070235711,0.235166369,1.49E-09
Snapdragon,900,61,0.1215,NaN,NaN,1.093,NaN,NaN,844,NaN,NaN,15900,0.0192,0.0239,20,75,304.8,948,AAC,0.0192,6.30E-05,7.84E-05,1,0.01,0.015172434,2.070163428,0.848761474,9.96E-10
Magnolia,954,37,0.1606,NaN,NaN,1.124,NaN,NaN,894,NaN,NaN,16400,0.0181,0.0226,20,75,304.8,982,AAC,0.0181,5.94E-05,7.41E-05,1,0.023333333,0.049897759,2.131031097,0.134954073,1.70E-09
