Name,Size,Metal OD,Low Temp ûC,Low Resistance ½/mile,Low Resistance ½/meter,Hi Temp ûC,Hi Resistance ½/mile,Hi Resistance ½/meter,alpha,beta,Type
Grouse,80,0.367,25,1.112,0.000690966,75,1.525,0.000947593,0.000562653,5.13254E-06,ACSR
Petrel,101.8,0.461,25,0.853,0.000530031,75,1.321,0.000820833,0.00038463,5.81605E-06,ACSR
Minorca,110.8,0.481,25,0.783,0.000486535,75,1.233,0.000766153,0.000346726,5.59235E-06,ACSR
Leghorn,134.6,0.53,25,0.645,0.000400785,75,1.053,0.000654305,0.000274025,5.0704E-06,ACSR
Guinea,159,0.576,25,0.491,0.000305094,75,0.921,0.000572284,0.000171499,5.34381E-06,ACSR
Cochin,211.3,0.664,25,0.411,0.000255384,75,0.732,0.000454845,0.000155654,3.98921E-06,ACSR
Waxwing,266.8,0.609,25,0.3471,0.000215678,75,0.4155,0.00025818,0.000194428,8.50038E-07,ACSR
Partridge,266.8,0.642,25,0.3437,0.000213566,75,0.4113,0.000255571,0.000192563,8.40096E-07,ACSR
Junco,266.8,0.66,25,0.3413,0.000212075,75,0.4083,0.000253706,0.000191259,8.32639E-07,ACSR
Ostrich,300.0,0.68,25,0.3058,0.000190016,75,0.3659,0.00022736,0.000171344,7.4689E-07,ACSR
Merlin,336.4,0.684,25,0.2756,0.00017125,75,0.3298,0.000204929,0.000154411,6.73568E-07,ACSR
Widgeon,336.4,0.7103,25,0.2740,0.000170256,75,0.3279,0.000203748,0.00015351,6.6984E-07,ACSR
Linnet,336.4,0.72,25,0.273,0.000169635,75,0.327,0.000203189,0.000152858,6.71083E-07,ACSR
Oriole,336.4,0.741,25,0.2708,0.000168268,75,0.3240,0.000201325,0.000151739,6.61141E-07,ACSR
Chickadee,397.5,0.743,25,0.2336,0.000145153,75,0.2794,0.000173612,0.000130923,5.69177E-07,ACSR
Brant,397.5,0.772,25,0.2321,0.000144221,75,0.2777,0.000172555,0.000130053,5.66692E-07,ACSR
Ibis,397.5,0.783,25,0.2311,0.000143599,75,0.2764,0.000171747,0.000129525,5.62964E-07,ACSR
Lark,397.5,0.806,25,0.2294,0.000142543,75,0.2743,0.000170443,0.000128593,5.57993E-07,ACSR
Pelican,477.0,0.814,25,0.1950,0.000121168,75,0.2331,0.000144842,0.000109331,4.73486E-07,ACSR
Flicker,477.0,0.846,25,0.1937,0.00012036,75,0.2316,0.00014391,0.000108585,4.71001E-07,ACSR
Hawk,477.0,0.858,25,0.1928,0.000119801,75,0.2305,0.000143226,0.000108088,4.68515E-07,ACSR
Hen,477.0,0.883,25,0.191,0.000118682,75,0.229,0.000142294,0.000106876,4.72243E-07,ACSR
Osprey,556.5,0.879,25,0.1676,0.000104142,75,0.2002,0.000124399,9.40137E-05,4.05135E-07,ACSR
Parakeet,556.5,0.914,25,0.166,0.000103148,75,0.199,0.000123653,9.28952E-05,4.10106E-07,ACSR
Dove,556.5,0.927,25,0.1655,0.000102837,75,0.1978,0.000122908,9.2802E-05,4.01407E-07,ACSR
Eagle,556.5,0.953,25,0.1642,0.000102029,75,0.1963,0.000121975,9.20564E-05,3.98921E-07,ACSR
Peacock,605.0,0.953,25,0.1532,9.51943E-05,75,0.1830,0.000113711,8.59358E-05,3.70338E-07,ACSR
Squab,605.0,0.966,25,0.1524,9.46972E-05,75,0.1821,0.000113152,8.54698E-05,3.69095E-07,ACSR
Teal,605.0,0.994,25,0.1513,9.40137E-05,75,0.1808,0.000112344,8.48484E-05,3.6661E-07,ACSR
Wood Duck,605.0,0.994,25,0.1512,9.39516E-05,75,0.1806,0.00011222,8.48174E-05,3.65367E-07,ACSR
Duck,605.0,0.952,25,0.1533,9.52564E-05,75,0.1880,0.000116818,8.44756E-05,4.31233E-07,ACSR
Kingbird,636.0,0.94,25,0.1470,9.13418E-05,75,0.1755,0.000109051,8.24872E-05,3.54182E-07,ACSR
Rook,636.0,0.977,25,0.1458,9.05961E-05,75,0.1742,0.000108243,8.17727E-05,3.5294E-07,ACSR
Grosbeak,636.0,0.99,25,0.1451,9.01612E-05,75,0.1733,0.000107684,8.13998E-05,3.50454E-07,ACSR
Scoter,636.0,1.019,25,0.1439,8.94155E-05,75,0.1719,0.000106814,8.07163E-05,3.47969E-07,ACSR
Egret,636.0,1.019,25,0.1440,8.94777E-05,75,0.1720,0.000106876,8.07785E-05,3.47969E-07,ACSR
Swift,636.0,0.93,25,0.1477,9.17768E-05,75,0.1763,0.000109548,8.28911E-05,3.55425E-07,ACSR
Goose,636.0,0.977,25,0.1459,9.06583E-05,75,0.1789,0.000111164,8.04056E-05,4.10106E-07,ACSR
Flamingo,666.6,1,25,0.1393,8.65572E-05,75,0.1663,0.000103334,7.81687E-05,3.35541E-07,ACSR
Gannet,666.6,1.014,25,0.1385,8.60601E-05,75,0.1654,0.000102775,7.77027E-05,3.34299E-07,ACSR
Gull,666.6,0.9999,25,0.1394,8.66194E-05,75,0.1708,0.00010613,7.68638E-05,3.90222E-07,ACSR
Stilt,715.5,1.036,25,0.1299,8.07163E-05,75,0.1551,9.63749E-05,7.2887E-05,3.13172E-07,ACSR
Starling,715.5,1.051,25,0.1292,8.02814E-05,75,0.1543,9.58778E-05,7.24831E-05,3.11929E-07,ACSR
Redwing,715.5,1.081,25,0.1282,7.966E-05,75,0.1531,9.51322E-05,7.19239E-05,3.09444E-07,ACSR
Crow,715.5,1.04,25,0.1299,8.07163E-05,75,0.1592,9.89225E-05,7.16132E-05,3.64124E-07,ACSR
Turbit,795.0,1.0634,25,0.1185,7.36327E-05,75,0.1412,8.77378E-05,6.65801E-05,2.82103E-07,ACSR
Puffin,795.0,1.0772,25,0.1179,7.32598E-05,75,0.1405,8.73029E-05,6.62383E-05,2.8086E-07,ACSR
Cuckoo,795.0,1.092,25,0.1172,7.28249E-05,75,0.1398,8.68679E-05,6.58034E-05,2.8086E-07,ACSR
Drake,795.0,1.108,25,0.117,7.27006E-05,75,0.139,8.63708E-05,6.58655E-05,2.73404E-07,ACSR
Skimmer,795.0,1.14,25,0.1155,7.17686E-05,75,0.1379,8.56873E-05,6.48092E-05,2.78375E-07,ACSR
Mallard,795.0,1.14,25,0.116,7.20792E-05,75,0.138,8.57494E-05,6.52441E-05,2.73404E-07,ACSR
Coot,795.0,1.04,25,0.1190,7.39434E-05,75,0.1417,8.80485E-05,6.68908E-05,2.82103E-07,ACSR
Tern,795.0,1.063,25,0.1185,7.36327E-05,75,0.1421,8.82971E-05,6.63005E-05,2.93288E-07,ACSR
Condor,795.0,1.092,25,0.117,7.27006E-05,75,0.14,8.69922E-05,6.55548E-05,2.85831E-07,ACSR
Ruddy,900.0,1.131,25,0.1051,6.53063E-05,75,0.1259,7.82308E-05,5.8844E-05,2.58491E-07,ACSR
Canary,900.0,1.162,25,0.1039,6.45606E-05,75,0.1269,7.88522E-05,5.74148E-05,2.85831E-07,ACSR
Corncrake,954.0,1.165,25,0.0994,6.17645E-05,75,0.1183,7.35084E-05,5.58925E-05,2.34879E-07,ACSR
Redbird,954.0,1.196,25,0.0982,6.10188E-05,75,0.1170,7.27006E-05,5.51779E-05,2.33636E-07,ACSR
Merganser,954.0,1.2481,25,0.0967,6.00867E-05,75,0.1152,7.15821E-05,5.4339E-05,2.29908E-07,ACSR
Rail,954.0,1.165,25,0.0994,6.17645E-05,75,0.1189,7.38812E-05,5.57061E-05,2.42335E-07,ACSR
Cardinal,954.0,1.196,25,0.0982,6.10188E-05,75,0.1199,7.45026E-05,5.42769E-05,2.69676E-07,ACSR
Snowbird,1033.5,1.203,25,0.0925,5.7477E-05,75,0.1105,6.86617E-05,5.18846E-05,2.23694E-07,ACSR
Ortolan,1033.5,1.212,25,0.0922,5.72906E-05,75,0.11,6.8351E-05,5.17603E-05,2.21209E-07,ACSR
Curlew,1033.5,1.245,25,0.091,5.65449E-05,75,0.108,6.71083E-05,5.12633E-05,2.11267E-07,ACSR
Bluejay,1113.0,1.259,25,0.0859,5.33759E-05,75,0.102,6.338E-05,4.83739E-05,2.00082E-07,ACSR
Finch,1113.0,1.293,25,0.0851,5.28788E-05,75,0.101,6.27586E-05,4.79389E-05,1.97597E-07,ACSR
Bunting,1192.5,1.302,25,0.0805,5.00205E-05,75,0.0959,5.95896E-05,4.52359E-05,1.91383E-07,ACSR
Grackle,1192.5,1.338,25,0.0798,4.95855E-05,75,0.0970,6.02732E-05,4.42417E-05,2.13752E-07,ACSR
Bittern,1272.0,1.345,25,0.0759,4.71622E-05,75,0.0898,5.57993E-05,4.28437E-05,1.72742E-07,ACSR
Pheasant,1272.0,1.382,25,0.0751,4.66651E-05,75,0.089,5.53022E-05,4.23466E-05,1.72742E-07,ACSR
Dipper,1351.5,1.386,25,0.0718,4.46146E-05,75,0.0852,5.2941E-05,4.04514E-05,1.66528E-07,ACSR
Martin,1351.5,1.424,25,0.0710,4.41175E-05,75,0.0860,5.34381E-05,3.94572E-05,1.86412E-07,ACSR
Bobolink,1431.0,1.427,25,0.0681,4.23155E-05,75,0.0808,5.02069E-05,3.83698E-05,1.57829E-07,ACSR
Plover,1431.0,1.465,25,0.0673,4.18184E-05,75,0.0814,5.05797E-05,3.74377E-05,1.75227E-07,ACSR
Nuthatch,1510.5,1.466,25,0.0649,4.03271E-05,75,0.0768,4.77214E-05,3.66299E-05,1.47887E-07,ACSR
Parrot,1510.5,1.505,25,0.0641,3.983E-05,75,0.0774,4.80942E-05,3.56979E-05,1.65285E-07,ACSR
Lapwing,1590.0,1.504,25,0.062,3.85251E-05,75,0.0729,4.52981E-05,3.51386E-05,1.35459E-07,ACSR
Falcon,1590.0,1.545,25,0.0611,3.79659E-05,75,0.0721,4.4801E-05,3.45483E-05,1.36702E-07,ACSR
Chukar,1780.0,1.602,25,0.0561,3.4859E-05,75,0.0658,4.08863E-05,3.18454E-05,1.20546E-07,ACSR
Bluebird,2156.0,1.762,25,0.0477,2.96395E-05,75,0.0555,3.44862E-05,2.72161E-05,9.69341E-08,ACSR
Kiwi,2167.0,1.735,25,0.0484,3.00744E-05,75,0.0562,3.49211E-05,2.76511E-05,9.69341E-08,ACSR
Thrasher,2312.0,1.802,25,0.0454,2.82103E-05,75,0.0528,3.28085E-05,2.59112E-05,9.19632E-08,ACSR
Joree,2515.0,1.88,25,0.0428,2.65948E-05,75,0.0493,3.06337E-05,2.45753E-05,8.07785E-08,ACSR
266.8 - 26/7,266.8,0.642,25,0.3980,0.000247306,75,0.4656,0.000289311,0.000226304,8.40096E-07,AACSR
266.8 - 30/7,266.8,0.66,25,0.3946,0.000245194,75,0.4616,0.000286826,0.000224378,8.32639E-07,AACSR
300.0 - 26/7,300.0,0.68,25,0.3540,0.000219966,75,0.4142,0.000257373,0.000201263,7.48133E-07,AACSR
336.4 - 26/7,336.4,0.72,25,0.3158,0.00019623,75,0.3694,0.000229535,0.000179577,6.66112E-07,AACSR
336.4 - 30/7,336.4,0.741,25,0.3131,0.000194552,75,0.3663,0.000227609,0.000178023,6.61141E-07,AACSR
397.5 - 26/7,397.5,0.783,25,0.2675,0.000166217,75,0.3128,0.000194365,0.000152143,5.62964E-07,AACSR
397.5 - 30/7,397.5,0.806,25,0.2651,0.000164726,75,0.3101,0.000192688,0.000150745,5.59235E-07,AACSR
477.0 - 26/7,477.0,0.858,25,0.2231,0.000138628,75,0.2608,0.000162054,0.000126915,4.68515E-07,AACSR
477.0 - 30/7,477.0,0.883,25,0.2211,0.000137386,75,0.2586,0.000160687,0.000125735,4.6603E-07,AACSR
556.5 - 26/7,556.5,0.927,25,0.1915,0.000118993,75,0.2238,0.000139063,0.000108958,4.01407E-07,AACSR
556.5 - 30/7,556.5,0.953,25,0.1897,0.000117874,75,0.2218,0.00013782,0.000107901,3.98921E-07,AACSR
605.0 - 26/7,605.0,0.966,25,0.1763,0.000109548,75,0.2060,0.000128003,0.000100321,3.69095E-07,AACSR
605.0 - 30/19,605.0,0.994,25,0.1748,0.000108616,75,0.2043,0.000126946,9.94507E-05,3.6661E-07,AACSR
605.0 - 30/7,605.0,0.994,25,0.1746,0.000108492,75,0.2041,0.000126822,9.93264E-05,3.6661E-07,AACSR
636.0 - 26/7,636.0,0.99,25,0.1678,0.000104266,75,0.1960,0.000121789,9.5505E-05,3.50454E-07,AACSR
636.0 - 30/19,636.0,1.019,25,0.1663,0.000103334,75,0.1944,0.000120795,9.4604E-05,3.49211E-07,AACSR
636.0 - 30/7,636.0,1.019,25,0.1662,0.000103272,75,0.1942,0.000120671,9.45729E-05,3.47969E-07,AACSR
666.6 - 26/7,666.6,1.014,25,0.1601,9.94818E-05,75,0.1871,0.000116259,9.10932E-05,3.35541E-07,AACSR
715.5 - 26/7,715.5,1.051,25,0.1493,9.27709E-05,75,0.1744,0.000108367,8.49727E-05,3.11929E-07,AACSR
715.5 - 30/19,715.5,1.081,25,0.1481,9.20253E-05,75,0.1730,0.000107497,8.42892E-05,3.09444E-07,AACSR
795.0 - 26/7,795.0,1.108,25,0.1346,8.36368E-05,75,0.1572,9.76798E-05,7.66153E-05,2.8086E-07,AACSR
795.0 - 30/19,795.0,1.14,25,0.1334,8.28911E-05,75,0.1558,9.68099E-05,7.59317E-05,2.78375E-07,AACSR
795.0 - 45/7,795.0,1.063,25,0.1670,0.000103769,75,0.1609,9.99789E-05,0.000105664,-7.58075E-08,AACSR
795.0 - 54/7,795.0,1.092,25,0.1354,8.41339E-05,75,0.1625,0.000100973,7.57143E-05,3.36784E-07,AACSR
795.0 - 30/7,795.0,1.14,25,0.1333,8.2829E-05,75,0.1557,9.67477E-05,7.58696E-05,2.78375E-07,AACSR
900.0 - 45/7,900.0,1.131,25,0.1214,7.54347E-05,75,0.1424,8.84835E-05,6.89102E-05,2.60977E-07,AACSR
900.0 - 54/7,900.0,1.162,25,0.1200,7.45647E-05,75,0.1437,8.92913E-05,6.72015E-05,2.94531E-07,AACSR
954.0 - 45/7,954.0,1.165,25,0.1148,7.13336E-05,75,0.1345,8.35746E-05,6.52131E-05,2.44821E-07,AACSR
954.0 - 54/7,954.0,1.196,25,0.1133,7.04015E-05,75,0.1357,8.43203E-05,6.34422E-05,2.78375E-07,AACSR
954.0 - 30/19,954.0,1.248,25,0.1116,6.93452E-05,75,0.1302,8.09027E-05,6.35664E-05,2.31151E-07,AACSR
1033.5 - 45/7,1033.5,1.212,25,0.1062,6.59898E-05,75,0.1244,7.72988E-05,6.03353E-05,2.2618E-07,AACSR
1033.5 - 54/7,1033.5,1.246,25,0.1049,6.5182E-05,75,0.1254,7.79201E-05,5.88129E-05,2.54763E-07,AACSR
1113.0 - 45/7,1113.0,1.259,25,0.0990,6.15159E-05,75,0.1158,7.1955E-05,5.62964E-05,2.08781E-07,AACSR
1113.0 - 54/19,1113.0,1.293,25,0.0981,6.09567E-05,75,0.1172,7.28249E-05,5.50226E-05,2.37364E-07,AACSR
1192.5 - 45/7,1192.5,1.302,25,0.0927,5.76013E-05,75,0.1083,6.72947E-05,5.27545E-05,1.93868E-07,AACSR
1192.5 - 54/19,1192.5,1.338,25,0.0918,5.7042E-05,75,0.1096,6.81025E-05,5.15118E-05,2.21209E-07,AACSR
1272.0 - 45/7,1272.0,1.345,25,0.0872,5.41837E-05,75,0.1018,6.32557E-05,4.96477E-05,1.81441E-07,AACSR
1272.0 - 54/19,1272.0,1.382,25,0.0864,5.36866E-05,75,0.1029,6.39393E-05,4.85603E-05,2.05053E-07,AACSR
1351.5 - 45/7,1351.5,1.386,25,0.0824,5.12011E-05,75,0.0961,5.97139E-05,4.69447E-05,1.70256E-07,AACSR
1351.5 - 54/19,1351.5,1.424,25,0.0815,5.06419E-05,75,0.0970,6.02732E-05,4.58262E-05,1.92626E-07,AACSR
1431.0 - 45/7,1431.0,1.427,25,0.0781,4.85292E-05,75,0.0910,5.65449E-05,4.45214E-05,1.60314E-07,AACSR
1431.0 - 54/19,1431.0,1.465,25,0.0772,4.797E-05,75,0.0918,5.7042E-05,4.3434E-05,1.81441E-07,AACSR
1510.5 - 45/7,1510.5,1.466,25,0.0743,4.6168E-05,75,0.0864,5.36866E-05,4.24087E-05,1.50372E-07,AACSR
1510.5 - 54/19,1510.5,1.505,25,0.0734,4.56088E-05,75,0.0872,5.41837E-05,4.13213E-05,1.71499E-07,AACSR
1590.0 - 45/7,1590.0,1.504,25,0.0709,4.40553E-05,75,0.0824,5.12011E-05,4.04824E-05,1.42916E-07,AACSR
1590.0 - 54/19,1590.0,1.545,25,0.0700,4.34961E-05,75,0.0830,5.15739E-05,3.94572E-05,1.61557E-07,AACSR
1780.0 - 84/19,1780.0,1.602,25,0.0640,3.97679E-05,75,0.0739,4.59194E-05,3.66921E-05,1.23032E-07,AACSR
2034.5 - 72/7,2034.5,1.681,25,0.0577,3.58532E-05,75,0.0663,4.1197E-05,3.31813E-05,1.06876E-07,AACSR
2057.0 - 76/19,2057.0,1.7,25,0.0569,3.53561E-05,75,0.0653,4.05756E-05,3.27463E-05,1.04391E-07,AACSR
2156.0 - 84/19,2156.0,1.762,25,0.0541,3.36163E-05,75,0.0621,3.85872E-05,3.11308E-05,9.94196E-08,AACSR
2167.0 - 72/7,2167.0,1.735,25,0.0547,3.39891E-05,75,0.0627,3.89601E-05,3.15036E-05,9.94196E-08,AACSR
2312.0 - 76/19,2312.0,1.802,25,0.0516,3.20628E-05,75,0.0589,3.65989E-05,2.97948E-05,9.07204E-08,AACSR
2515.0 - 76/19,2515.0,1.88,25,0.0481,2.9888E-05,75,0.0548,3.40512E-05,2.78064E-05,8.32639E-08,AACSR
Logan,322.5,0.6,25,0.2898,0.000180074,75,0.3468,0.000215492,0.000162365,7.08365E-07,AACTW
Tulip,336.4,0.612,25,0.2779,0.000172679,75,0.3325,0.000206606,0.000155716,6.78539E-07,AACTW
Canna,397.5,0.661,25,0.2355,0.000146333,75,0.2817,0.000175041,0.00013198,5.74148E-07,AACTW
Wheeler,449.4,0.7,25,0.2087,0.00012968,75,0.2494,0.00015497,0.000117036,5.05797E-07,AACTW
Cosmos,477,0.72,25,0.1968,0.000122286,75,0.2352,0.000146147,0.000110356,4.77214E-07,AACTW
Zinnia,500,0.736,25,0.1879,0.000116756,75,0.2245,0.000139498,0.000105385,4.54845E-07,AACTW
Mistletoe,556.5,0.775,25,0.1691,0.000105074,75,0.2020,0.000125517,9.48525E-05,4.08863E-07,AACTW
Robson,595.8,0.8,25,0.1582,9.83012E-05,75,0.1888,0.000117315,8.87942E-05,3.8028E-07,AACTW
Meadowsweet,600,0.803,25,0.1571,9.76177E-05,75,0.1875,0.000116507,8.81728E-05,3.77795E-07,AACTW
Orchid,636,0.825,25,0.1485,9.22739E-05,75,0.1771,0.000110045,8.33882E-05,3.55425E-07,AACTW
Verbena,700,0.864,25,0.1353,8.40717E-05,75,0.1613,0.000100227,7.59939E-05,3.23114E-07,AACTW
Nasturtium,750,0.893,25,0.1266,7.86658E-05,75,0.1508,9.3703E-05,7.11472E-05,3.00744E-07,AACTW
McKinley,761.5,0.9,25,0.1247,7.74852E-05,75,0.1486,9.2336E-05,7.00598E-05,2.97016E-07,AACTW
Arbutus,795,0.919,25,0.1197,7.43783E-05,75,0.1425,8.85456E-05,6.72947E-05,2.83346E-07,AACTW
Cockscomb,900,0.99,25,0.1064,6.61141E-05,75,0.1264,7.85415E-05,5.99003E-05,2.48549E-07,AACTW
Rainier,918.8,1.000,25,0.1043,6.48092E-05,75,0.1239,7.69881E-05,5.87197E-05,2.43578E-07,AACTW
Magnolia,954,1.018,25,0.1007,6.25722E-05,75,0.1195,7.4254E-05,5.67313E-05,2.33636E-07,AACTW
Hawkweed,1000,1.041,25,0.0963,5.98382E-05,75,0.1142,7.09608E-05,5.42769E-05,2.22451E-07,AACTW
Bluebell,1033.5,1.057,25,0.0934,5.80362E-05,75,0.1107,6.8786E-05,5.26613E-05,2.14995E-07,AACTW
Marigold,1113,1.095,25,0.0872,5.41837E-05,75,0.1032,6.41257E-05,4.92127E-05,1.98839E-07,AACTW
Helens,1123.1,1.1,25,0.0865,5.37487E-05,75,0.1023,6.35664E-05,4.88399E-05,1.96354E-07,AACTW
Hawthorn,1192.5,1.132,25,0.0819,5.08904E-05,75,0.0967,6.00867E-05,4.62923E-05,1.83926E-07,AACTW
Narcissus,1272,1.168,25,0.0772,4.797E-05,75,0.0911,5.66071E-05,4.36514E-05,1.72742E-07,AACTW
Baker,1346.8,1.2,25,0.0734,4.56088E-05,75,0.0864,5.36866E-05,4.15698E-05,1.61557E-07,AACTW
Columbine,1351.5,1.202,25,0.0731,4.54223E-05,75,0.0861,5.35002E-05,4.13834E-05,1.61557E-07,AACTW
Carnation,1431,1.236,25,0.0695,4.31854E-05,75,0.0817,5.07662E-05,3.9395E-05,1.51615E-07,AACTW
Hood,1583.2,1.3,25,0.0637,3.95814E-05,75,0.0746,4.63544E-05,3.6195E-05,1.35459E-07,AACTW
Coreopsis,1590,1.315,25,0.0635,3.94572E-05,75,0.0743,4.6168E-05,3.61018E-05,1.34217E-07,AACTW
Jessamine,1750,1.377,25,0.0585,3.63503E-05,75,0.0683,4.24398E-05,3.33056E-05,1.21789E-07,AACTW
Whitney,1812.7,1.4,25,0.0568,3.5294E-05,75,0.0662,4.11349E-05,3.23735E-05,1.16818E-07,AACTW
Cowslip,2000,1.468,25,0.0525,3.26221E-05,75,0.0609,3.78416E-05,3.00123E-05,1.04391E-07,AACTW
Powell,2093.6,1.5,25,0.0510,3.169E-05,75,0.0591,3.67231E-05,2.91734E-05,1.00662E-07,AACTW
Jefferson,2388.1,1.6,25,0.0461,2.86453E-05,75,0.0530,3.29328E-05,2.65015E-05,8.57494E-08,AACTW
Lupine,2500,1.648,25,0.0446,2.77132E-05,75,0.0511,3.17521E-05,2.56938E-05,8.07785E-08,AACTW
Trillium,3000,1.799,25,0.0392,2.43578E-05,75,0.0445,2.76511E-05,2.27112E-05,6.58655E-08,AACTW
Junco,266.8,0.660,25,0.3320,0.000206296,75,0.3991,0.00024799,0.000185449,8.33882E-07,ACSS
Partridge,266.8,0.642,25,0.3343,0.000207725,75,0.4019,0.00024973,0.000186723,8.40096E-07,ACSS
Ostrich,300,0.680,25,0.2974,0.000184796,75,0.3575,0.000222141,0.000166124,7.4689E-07,ACSS
Linnet,336.4,0.720,25,0.2654,0.000164912,75,0.3190,0.000198218,0.00014826,6.66112E-07,ACSS
Oriole,336.4,0.741,25,0.2635,0.000163732,75,0.3167,0.000196789,0.000147203,6.61141E-07,ACSS
WoodCock,336.4,0.701,25,0.2677,0.000166341,75,0.3218,0.000199958,0.000149533,6.72325E-07,ACSS
Brant,397.5,0.772,25,0.2258,0.000140306,75,0.2714,0.000168641,0.000126139,5.66692E-07,ACSS
Ibis,397.5,0.783,25,0.2248,0.000139685,75,0.2701,0.000167833,0.00012561,5.62964E-07,ACSS
Lark,397.5,0.806,25,0.2232,0.00013869,75,0.2681,0.00016659,0.000124741,5.57993E-07,ACSS
Ptarmigan,397.5,0.752,25,0.2277,0.000141487,75,0.2737,0.00017007,0.000127195,5.71663E-07,ACSS
Flicker,477,0.846,25,0.1885,0.000117129,75,0.2264,0.000140679,0.000105354,4.71001E-07,ACSS
Hawk,477,0.858,25,0.1876,0.00011657,75,0.2253,0.000139995,0.000104857,4.68515E-07,ACSS
Hen,477,0.883,25,0.1862,0.0001157,75,0.2236,0.000138939,0.00010408,4.64787E-07,ACSS
Tailorbird,477,0.824,25,0.1901,0.000118123,75,0.2284,0.000141922,0.000106224,4.75972E-07,ACSS
Dove,556.5,0.927,25,0.1610,0.000100041,75,0.1933,0.000120111,9.00058E-05,4.01407E-07,ACSS
Parakeet,556.5,0.914,25,0.1618,0.000100538,75,0.1943,0.000120733,9.04408E-05,4.03892E-07,ACSS
Sapsucker,556.5,0.901,25,0.1626,0.000101035,75,0.1952,0.000121292,9.09068E-05,4.05135E-07,ACSS
Peacock,605,0.953,25,0.1490,9.25845E-05,75,0.1789,0.000111164,8.3295E-05,3.71581E-07,ACSS
Squab,605,0.966,25,0.1483,9.21496E-05,75,0.1780,0.000110604,8.29222E-05,3.69095E-07,ACSS
Teal,605,0.994,25,0.1472,9.14661E-05,75,0.1767,0.000109797,8.23008E-05,3.6661E-07,ACSS
Wood Duck,605,0.994,25,0.1471,9.14039E-05,75,0.1766,0.000109734,8.22387E-05,3.6661E-07,ACSS
Egret,636,1.019,25,0.1402,8.71165E-05,75,0.1682,0.000104515,7.84172E-05,3.47969E-07,ACSS
Goldfinch,636,0.963,25,0.1426,8.86078E-05,75,0.1711,0.000106317,7.97532E-05,3.54182E-07,ACSS
Grosbeak,636,0.991,25,0.1412,8.77378E-05,75,0.1694,0.000105261,7.89765E-05,3.50454E-07,ACSS
Rook,636,0.977,25,0.1419,8.81728E-05,75,0.1702,0.000105758,7.93804E-05,3.51697E-07,ACSS
Scoter,636,1.019,25,0.1401,8.70543E-05,75,0.1681,0.000104453,7.83551E-05,3.47969E-07,ACSS
Flamingo,666.6,1.000,25,0.1355,8.4196E-05,75,0.1625,0.000100973,7.58075E-05,3.35541E-07,ACSS
Gannet,666.6,1.014,25,0.1348,8.3761E-05,75,0.1617,0.000100476,7.54036E-05,3.34299E-07,ACSS
Redwing,715.5,1.081,25,0.1248,7.75473E-05,75,0.1497,9.30195E-05,6.98112E-05,3.09444E-07,ACSS
Starling,715.5,1.051,25,0.1258,7.81687E-05,75,0.1508,9.3703E-05,7.04015E-05,3.10686E-07,ACSS
Stilt,715.5,1.036,25,0.1264,7.85415E-05,75,0.1516,9.42001E-05,7.07122E-05,3.13172E-07,ACSS
Condor,795,1.092,25,0.1141,7.08986E-05,75,0.1406,8.7365E-05,6.26654E-05,3.29328E-07,ACSS
Cuckoo,795,1.092,25,0.1141,7.08986E-05,75,0.1367,8.49417E-05,6.38771E-05,2.8086E-07,ACSS
Drake,795,1.108,25,0.1135,7.05258E-05,75,0.1359,8.44446E-05,6.35664E-05,2.78375E-07,ACSS
Macaw,795,1.055,25,0.1157,7.18928E-05,75,0.1385,8.60601E-05,6.48092E-05,2.83346E-07,ACSS
Mallard,795,1.140,25,0.1125,6.99044E-05,75,0.1349,8.38232E-05,6.29451E-05,2.78375E-07,ACSS
Puffin,795,1.077,25,0.1147,7.12715E-05,75,0.1374,8.53766E-05,6.42189E-05,2.82103E-07,ACSS
Tern,795,1.063,25,0.1153,7.16443E-05,75,0.1390,8.63708E-05,6.4281E-05,2.94531E-07,ACSS
Canary,900,1.162,25,0.1012,6.28829E-05,75,0.1245,7.73609E-05,5.56439E-05,2.8956E-07,ACSS
Ruddy,900,1.131,25,0.1023,6.35664E-05,75,0.1232,7.65531E-05,5.70731E-05,2.59734E-07,ACSS
Canvasback,954,1.248,25,0.0942,5.85333E-05,75,0.1128,7.00908E-05,5.27545E-05,2.31151E-07,ACSS
Cardinal,954,1.196,25,0.0956,5.94032E-05,75,0.1176,7.30734E-05,5.25681E-05,2.73404E-07,ACSS
Corncrake,954,1.165,25,0.0968,6.01489E-05,75,0.1156,7.18307E-05,5.4308E-05,2.33636E-07,ACSS
Rail,954,1.165,25,0.0968,6.01489E-05,75,0.1164,7.23278E-05,5.40594E-05,2.43578E-07,ACSS
Redbird,954,1.196,25,0.0956,5.94032E-05,75,0.1144,7.1085E-05,5.35623E-05,2.33636E-07,ACSS
Towhee,954,1.175,25,0.0964,5.99003E-05,75,0.1152,7.15821E-05,5.40594E-05,2.33636E-07,ACSS
Curlew,1033.5,1.245,25,0.0886,5.50536E-05,75,0.1087,6.75432E-05,4.88088E-05,2.49792E-07,ACSS
Ortolan,1033.5,1.212,25,0.0897,5.57371E-05,75,0.1077,6.69218E-05,5.01448E-05,2.23694E-07,ACSS
Snowbird,1033.5,1.203,25,0.0901,5.59857E-05,75,0.1074,6.67354E-05,5.06108E-05,2.14995E-07,ACSS
